ingredient_code,std_name_ko,std_name_en,old_name_ko,old_name_en,as_of_date,source,ingest_date,batch_id
24548,하이드롤라이즈드미선나무잎추출물,Hydrolyzed Abeliophyllum Distichum Leaf Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24547,락토바실러스/미선나무잎발효추출여과물,Lactobacillus/Abeliophyllum Distichum Leaf Ferment Extract Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24546,칼슘/마그네슘하이드록시아파타이트,Calcium/Magnesium Hydroxyapatite,,,,kcia,2026-03-23,kcia_2026-03-23
24545,징크하이드록시아파타이트,Zinc Hydroxyapatite,,,,kcia,2026-03-23,kcia_2026-03-23
24544,글리오세팔로트리쿰 심플렉스/글라이실타이로신발효여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24543,보리밥나무가지추출물,Elaeagnus Macrophylla Twig Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24542,순비기나무가지/잎수,,,,,kcia,2026-03-23,kcia_2026-03-23
24541,폴리글리세릴-20코코에이트/세바케이트,Polyglyceryl-20 Cocoate/Sebacate,,,,kcia,2026-03-23,kcia_2026-03-23
24540,테트라소듐비스-페닐석시네이트글라이콜,Tetrasodium Bis-Phenylsuccinate Glycol,,,,kcia,2026-03-23,kcia_2026-03-23
24539,로다닐리덴에톡시페녹시아세틱애씨드,Rhodanylidene Ethoxyphenoxy Acetic Acid,,,,kcia,2026-03-23,kcia_2026-03-23
24538,하이드록시에틸4-페닐우라졸,Hydroxyethyl 4-phenylurazole,,,,kcia,2026-03-23,kcia_2026-03-23
24537,에스알-(클로스트리듐 보툴리눔폴리펩타이드-1데카펩타이드-84에이치아이브이-1올리고펩타이드-8글루타민),sr-(Clostridium Botulinum Polypeptide-1 Decapeptide-84 HIV-1 Oligopeptide-8 Glutamine),,폴리펩타이드-2K,,kcia,2026-03-23,kcia_2026-03-23
24536,소듐포스포로티오에이트노나-메톡시에틸디엔에이-2,Sodium Phosphorothioate Nona-Methoxyethyl DNA-2,,,,kcia,2026-03-23,kcia_2026-03-23
24535,다이트라이메틸올프로판테트라카프릴레이트,Ditrimethylolpropane Tetracaprylate,18367-21-0,,,kcia,2026-03-23,kcia_2026-03-23
24534,드로메트리졸다이메티콘/비스-비닐다이메티콘크로스폴리머,Drometrizole Dimethicone/Bis-Vinyldimethicone Crosspolymer,2999741-60-3,,,kcia,2026-03-23,kcia_2026-03-23
24533,테트라데실아미노부티로일발릴아미노부티릭우레아아세테이트,Tetradecyl Aminobutyroylvalylaminobutyric Urea Acetate,2922053-00-5,,,kcia,2026-03-23,kcia_2026-03-23
24532,하이드롤라이즈드돼지동맥추출물,Hydrolyzed Pig Artery Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24531,하이드롤라이즈드돼지가죽추출물,Hydrolyzed Pig Skin Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24530,에스알-홍합데카펩타이드-1,sr-Mussel Decapeptide-1,,,,kcia,2026-03-23,kcia_2026-03-23
24529,니코티노일다이펩타이드-17하이드록시프롤린,Nicotinoyl Dipeptide-17 Hydroxyproline,,,,kcia,2026-03-23,kcia_2026-03-23
24528,시키모일다이펩타이드-17하이드록시프롤린,Shikimoyl Dipeptide-17 Hydroxyproline,,,,kcia,2026-03-23,kcia_2026-03-23
24527,쿠마로일다이펩타이드-17하이드록시프롤린,Coumaroyl Dipeptide-17 Hydroxyproline,,,,kcia,2026-03-23,kcia_2026-03-23
24526,참식나무잎오일,,,,,kcia,2026-03-23,kcia_2026-03-23
24525,새덕이잎오일,,,,,kcia,2026-03-23,kcia_2026-03-23
24524,센달나무잎오일,,,,,kcia,2026-03-23,kcia_2026-03-23
24523,생달나무잎오일,Cinnamomum Japonicum Leaf Oil,,,,kcia,2026-03-23,kcia_2026-03-23
24522,곰취오일,,,,,kcia,2026-03-23,kcia_2026-03-23
24521,데이노코쿠스세포벽폴리사카라이드,Deinococcus Cell Wall Polysaccharides,,,,kcia,2026-03-23,kcia_2026-03-23
24520,스타퓔로코쿠스 카프라이발효추출여과물,Staphylococcus Caprae Ferment Extract Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24519,레몬소포,,,,,kcia,2026-03-23,kcia_2026-03-23
24518,개양귀비꽃소포,,,,,kcia,2026-03-23,kcia_2026-03-23
24517,인삼꽃소포,,,,,kcia,2026-03-23,kcia_2026-03-23
24516,월화미인꽃소포,,,,,kcia,2026-03-23,kcia_2026-03-23
24515,에스에이치-올리고펩타이드-200에스피,sh-Oligopeptide-200 SP,,,,kcia,2026-03-23,kcia_2026-03-23
