inci_name,kor_name,eng_name,cosing_functions,status,cosmetic_restriction,other_restrictions
BOROJOA PATINOI FRUIT JUICE,보로호열매즙,Borojoa Patinoi Fruit Juice,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
PANTOEA AGGLOMERANS/WHEAT FLOUR FERMENT EXTRACT,판토에아 아글로메란스/밀가루발효추출물,Pantoea Agglomerans/Wheat Flour Ferment Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
ARCTIUM LAPPA ROOT POWDER,우엉뿌리가루,Arctium Lappa Root Powder,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CYCLOCARYA PALIURUS LEAF EXTRACT,퀴클로카뤼아 팔리우루스잎추출물,Cyclocarya Paliurus Leaf Extract,HUMECTANT;SKIN CONDITIONING,Active,,
ARTOCARPUS ALTILIS WOOD EXTRACT,빵나무목부추출물,Artocarpus Altilis Wood Extract,ANTIMICROBIAL;ANTIOXIDANT;ANTI-SEBUM;BLEACHING,Active,,
EUGENIA CUMINI FRUIT EXTRACT,자바플럼열매추출물,Eugenia Cumini Fruit Extract,SKIN CONDITIONING,Active,,
CHONEMORPHA MACROPHYLLA ROOT EXTRACT,코네모르파 마크로필라뿌리추출물,Chonemorpha Macrophylla Root Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
BOUGAINVILLEA GLABRA LEAF CELL EXTRACT,부겐빌레아잎세포추출물,Bougainvillea Glabra Leaf Cell Extract,ANTIOXIDANT;SKIN PROTECTING,Active,,
CITRUS UNSHIU/SINENSIS/RETICULATA FRUIT EXTRACT,귤/당귤나무/만다린열매추출물,Citrus Unshiu/Sinensis/Reticulata Fruit Extract,SKIN CONDITIONING,Active,,
PPG-5 C12-14 SEC-ALKETH-9,피피지-5C12-14Sec-알케스-9,PPG-5 C12-14 Sec-Alketh-9,SURFACTANT - EMULSIFYING;EMULSION STABILISING,Active,,
PTEROCARPUS MARSUPIUM LEAF EXTRACT,인도키노나무잎추출물,Pterocarpus Marsupium Leaf Extract,SKIN CONDITIONING,Active,,
ILLICIUM RELIGIOSUM BRANCH/LEAF EXTRACT,붓순나무가지/잎추출물,Illicium Religiosum Branch/Leaf Extract,ANTIOXIDANT,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
PAECILOMYCES JAPONICA/PANAX GINSENG ROOT FERMENT FILTRATE,눈꽃동충하초/인삼발효여과물,Paecilomyces Japonica/Panax Ginseng Root Ferment Filtrate,SKIN CONDITIONING,Active,,
CHAMOMILLA VULGARIS EXTRACT,카모밀라 불가리스추출물,Chamomilla Vulgaris Extract,SKIN PROTECTING,Active,,
SODIUM STEAROYL SOY PROTEIN,소듐스테아로일콩단백질,Sodium Stearoyl Soy Protein,CLEANSING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,
METHIONYL SH-POLYPEPTIDE-7 DIPEPTIDE-19 SR-SPIDER POLYPEPTIDE-4 HEXAPEPTIDE 40,메티오닐에스에이치-폴리펩타이드-7다이펩타이드-19에스알-거미폴리펩타이드-4헥사펩타이드40,Methionyl sh-Polypeptide-7 Dipeptide-19 sr-Spider Polypeptide-4 Hexapeptide 40,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;SKIN PROTECTING,Active,,
ALEURITES MOLUCCANUS BARK EXTRACT,쿠쿠이나무껍질추출물,Aleurites Moluccanus Bark Extract,SKIN CONDITIONING,Active,,
TRIBULUS TERRESTRIS FRUIT POWDER,남가새열매가루,Tribulus Terrestris Fruit Powder,ABRASIVE;FRAGRANCE;SKIN PROTECTING,Active,,
PERFLUOROCAPRYLYL TRIETHOXYSILYLETHYL METHICONE,퍼플루오로카프릴릴트라이에톡시실릴에틸메티콘,Perfluorocaprylyl Triethoxysilylethyl Methicone,BINDING;SKIN CONDITIONING - EMOLLIENT,Active,,
ACORUS CALAMUS RHIZOME EXTRACT,창포뿌리줄기추출물,Acorus Calamus Rhizome Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PPG-1-DECETH-4,피피지-1데세스-4,PPG-1-Deceth-4,CLEANSING;SURFACTANT - EMULSIFYING,Active,,
SACCHAROMYCES/JUNIPERUS COMMUNIS FRUIT WATER FERMENT FILTRATE,효모/두송열매수발효여과물,Saccharomyces/Juniperus Communis Fruit Water Ferment Filtrate,ANTIMICROBIAL;ANTIOXIDANT;SKIN PROTECTING,Active,,
GLYCERYL LAURATE SE,글리세릴라우레이트에스이,Glyceryl Laurate SE,SURFACTANT - EMULSIFYING,Active,,ban substances that deplete the ozone layer
ANETHOLEA ANISATA LEAF EXTRACT,아네톨레아 아니사타잎추출물,Anetholea Anisata Leaf Extract,HAIR CONDITIONING;SKIN CONDITIONING,Active,,
CAMELLIA JAPONICA FLOWER/LEAF/SEED WATER,동백나무꽃/잎/씨수,Camellia Japonica Flower/Leaf/Seed Water,SKIN CONDITIONING,Active,,
SODIUM COCOYL HYDROLYZED KERATIN,소듐코코일하이드롤라이즈드케라틴,Sodium Cocoyl Hydrolyzed Keratin,ANTISTATIC;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
CITRUS UNSHIU PEEL WATER,귤껍질수,Citrus Unshiu Peel Water,SKIN PROTECTING,Active,,
CERIA/SILICA,세리아/실리카,Ceria/Silica,UV ABSORBER,Active,,
SODIUM PHOSPHONO-PYRIDOXYLIDENERHODANINE,소듐포스포노-피리독실리덴로다닌,Sodium Phosphono-Pyridoxylidenerhodanine,ANTIOXIDANT,Active,,ban substances that deplete the ozone layer
ISODON INFLEXUS BRANCH/LEAF EXTRACT,산박하가지/잎추출물,Isodon Inflexus Branch/Leaf Extract,BLEACHING,Active,,
ASPARAGUS RACEMOSUS ROOT,샤타바리뿌리,Asparagus Racemosus Root,ANTIMICROBIAL;SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
MAHONIA AQUIFOLIUM FLOWER/LEAF/STEM EXTRACT,뿔남천꽃/잎/줄기추출물,Mahonia Aquifolium Flower/Leaf/Stem Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CURCUMA WENYUJIN/CURCUMA KWANGSIENSIS RHIZOME EXTRACT,쿠르쿠마 우에뉘우진/쿠르쿰 크왕시엔시스뿌리줄기추출물,Curcuma Wenyujin/Curcuma Kwangsiensis Rhizome Extract,ANTI-SEBUM,Active,,
PHYLLOSTACHYS EDULIS LEAF EXTRACT,모소밤부잎추출물,Phyllostachys Edulis Leaf Extract,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
PENTAPEPTIDE-30 CYSTEINAMIDE,펜타펩타이드-30시스테인아마이드,Pentapeptide-30 Cysteinamide,HAIR CONDITIONING,Active,,
SACCHAROMYCES/ZINC/IRON/GERMANIUM/COPPER/MAGNESIUM/SILICON FERMENT,효모/아연/철/게르마늄/구리/마그네슘/실리콘발효물,Saccharomyces/Zinc/Iron/Germanium/Copper/Magnesium/Silicon Ferment,ASTRINGENT,Active,III/24,
PEG-7 COCOGLYCERIDES,피이지-7코코글리세라이즈,PEG-7 Cocoglycerides,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING,Active,,
HYDROLYZED MALLOW LEAF EXTRACT,하이드롤라이즈드당아욱잎추출물,Hydrolyzed Mallow Leaf Extract,FILM FORMING;SKIN PROTECTING,Active,,ban substances that deplete the ozone layer
EMBELIA RIBES FRUIT EXTRACT,비단가열매추출물,Embelia Ribes Fruit Extract,SKIN CONDITIONING,Active,,
DIMETHICONE ETHOXY GLUCOSIDE,다이메티콘에톡시글루코사이드,Dimethicone Ethoxy Glucoside,EMULSION STABILISING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
ALCHORNEA CORDIFOLIA LEAF EXTRACT,알코르네아 코르디폴리아잎추출물,Alchornea Cordifolia Leaf Extract,ASTRINGENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
HYDROLYZED SILK GLAND EXTRACT,하이드롤라이즈드견사샘추출물,Hydrolyzed Silk Gland Extract,HUMECTANT,Active,"Please consider whether entry 419 of Annex II to the Cosmetics Regulation 1223/2009 is applicable. According to entry 419, category 1 material and Category 2 material as defined in Articles 4 and 5 respectively of Regulation (EC) No 1774/2002, and ingredients derived therefrom are prohibited in cosmetics products. Regulation (EC) No 1774/2002 has been repealed and replaced by Regulation No. 1069/2009. For Category 1 and 2 materials in Regulation No. 1069/2009, please see Article 8 and 9, respectively.",
IODIZED HYDROLYZED EXTENSIN,아이오다이즈드하이드롤라이즈드익스텐신,Iodized Hydrolyzed Extensin,SKIN CONDITIONING,Active,,
BENZOIC ACID/PHTHALIC ANHYDRIDE/PENTAERYTHRITOL/NEOPENTYL GLYCOL/PALMITIC ACID COPOLYMER,벤조익애씨드/프탈릭안하이드라이드/펜타에리스리톨/네오펜틸글라이콜/팔미틱애씨드코폴리머,Benzoic Acid/Phthalic Anhydride/Pentaerythritol/Neopentyl Glycol/Palmitic Acid Copolymer,FILM FORMING,Active,,
ORIGANUM VULGARE LEAF/ROSA CENTIFOLIA FLOWER EXTRACT,오레가노잎/프로방스장미꽃추출물,Origanum Vulgare Leaf/Rosa Centifolia Flower Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
HYDROGENATED CALOPHYLLUM INOPHYLLUM SEED OIL,하이드로제네이티드호동씨오일,Hydrogenated Calophyllum Inophyllum Seed Oil,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
ROSA CENTIFOLIA BUD EXTRACT,프로방스장미싹출물,Rosa Centifolia Bud Extract,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
PENTAPEPTIDE-2,펜타펩타이드-2,Pentapeptide-2,HUMECTANT,Active,,
PLANTAGO LANCEOLATA MERISTEM CELL,창질경이분열조직세포,Plantago Lanceolata Meristem Cell,ANTIOXIDANT;SKIN PROTECTING,Active,,
C12-13 ALKETH-15,C12-13알케스-15,C12-13 Alketh-15,SURFACTANT - EMULSIFYING,Active,,
CAULERPA RACEMOSA EXTRACT,카울레르파 라케모사추출물,Caulerpa Racemosa Extract,ASTRINGENT;HAIR CONDITIONING;NAIL CONDITIONING;SKIN CONDITIONING,Active,,
ALPINIA SPECIOSA LEAF OIL,월도잎오일,Alpinia Speciosa Leaf Oil,HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING,Active,,
TEA-C12-14 ALKYL PHOSPHATE,티이에이-C12-14알킬포스페이트,TEA-C12-14 Alkyl Phosphate,CLEANSING;SURFACTANT - CLEANSING,Active,III/62,
PEG-11 LAURAMIDE,피이지-11라우라마이드,PEG-11 Lauramide,SURFACTANT - EMULSIFYING,Active,,
SODIUM PANTETHEINE SULFONATE,소듐판테테인설포네이트,Sodium Pantetheine Sulfonate,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
FISH PLASMA PROTEIN,어류혈장단백질,Fish Plasma Protein,SKIN CONDITIONING,Active,"Please consider whether entry 419 of Annex II to the Cosmetics Regulation 1223/2009 is applicable. According to entry 419, category 1 material and Category 2 material as defined in Articles 4 and 5 respectively of Regulation (EC) No 1774/2002, and ingredients derived therefrom are prohibited in cosmetics products. Regulation (EC) No 1774/2002 has been repealed and replaced by Regulation No. 1069/2009. For Category 1 and 2 materials in Regulation No. 1069/2009, please see Article 8 and 9, respectively.",
SH-POLYPEPTIDE-69,에스에이치-폴리펩타이드-69,sh-Polypeptide-69,SKIN PROTECTING,Active,,
ISOPROPYLIDENEDIPHENYL BISOXYHYDROXYPROPYL METHACRYLATE/TMDI COPOLYMER,아이소프로필리덴다이페닐비스옥시하이드록시프로필메타크릴레이트/티엠디아이코폴리머,Isopropylidenediphenyl Bisoxyhydroxypropyl Methacrylate/TMDI Copolymer,FILM FORMING,Active,,
STIGMASTANOL MALTOSIDE,스티그마스탄올말토사이드,Stigmastanol Maltoside,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
IRIS PSEUDACORUS LEAF EXTRACT,노랑꽃창포잎추출물,Iris Pseudacorus Leaf Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
HYDROGENATED WHEAT GERM OIL UNSAPONIFIABLES,하이드로제네이티드밀배아오일불검화물,Hydrogenated Wheat Germ Oil Unsaponifiables,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
SODIUM/ALUMINUM/IRON/SULFATE/CITRATE/HYDROXIDE,소듐/알루미늄/아이런/설페이트/시트레이트/하이드록사이드,Sodium/Aluminum/Iron/Sulfate/Citrate/Hydroxide,ANTIMICROBIAL;DEODORANT;HUMECTANT;OPACIFYING;UV ABSORBER,Active,,
PPG-5 TOCOPHERYL ETHER,피피지-5토코페릴에터,PPG-5 Tocopheryl Ether,ANTICAKING;ANTIOXIDANT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
FRAXINUS ORNUS SEED EXTRACT,오르누스물푸레씨추출물,Fraxinus Ornus Seed Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
SODIUM (ASTROCARYUM VULGARE/EUTERPE OLERACEAE/PALM) FRUIT/(ASTROCARYUM VULGARE/PALM) KERNEL/(ASTROCARYUM MURUMURU/BABASSU/BERTHOLLETIA EXCELSA/CARAPA GUIANENSIS/COCOA/FEVILLEA TRILOBATA/PASSIFLORA EDULIS/THEOBROMA GRANDIFLORUM) SEEDATE,소듐(투쿰야자/아사이야자/야자)열매/(투쿰야자/야자)커넬/(야자/바바수/브라질넛/안디로바/카카오/페빌레아 트릴로바타/패션프룻/쿠푸아수)씨데이트,Sodium (Astrocaryum Vulgare/Euterpe Oleraceae/Palm) Fruit/(Astrocaryum Vulgare/Palm) Kernel/(Astrocaryum Murumuru/Babassu/Bertholletia Excelsa/Carapa Guianensis/Cocoa/Fevillea Trilobata/Passiflora Edulis/Theobroma Grandiflorum) Seedate,CLEANSING;SURFACTANT - CLEANSING,Active,,
CAPRYLIC/CAPRIC/PALMITIC/STEARIC TRIGLYCERIDE,카프릴릭/카프릭/팔미틱/스테아릭트라이글리세라이드,Caprylic/Capric/Palmitic/Stearic Triglyceride,SKIN CONDITIONING,Active,,
HYDROGENATED WALNUT SEED OIL,하이드로제네이티드호두씨오일,Hydrogenated Walnut Seed Oil,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
DUNALIELLA BARDAWIL EXTRACT,두날리엘라 바르다윌추출물,Dunaliella Bardawil Extract,HUMECTANT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CIMICIFUGA SIMPLEX LEAF/STEM EXTRACT,촛대승마잎/줄기추출물,Cimicifuga Simplex Leaf/Stem Extract,HUMECTANT;SKIN CONDITIONING,Active,,
ESCHERICHIA COLI/GLUCOSE FERMENT FILTRATE,대장균/글루코오스발효여과물,Escherichia Coli/Glucose Ferment Filtrate,SKIN CONDITIONING,Active,,
DENDROPANAX MORBIFERUS LEAF EXTRACT,황칠나무잎추출물,Dendropanax Morbiferus Leaf Extract,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CANDIDA BOMBICOLA/RAPESEED SEED OIL FERMENT EXTRACT,칸디다 봄비콜라/피마자씨오일발효추출물,Candida Bombicola/Rapeseed Seed Oil Ferment Extract,SKIN CONDITIONING,Active,,
HYDROLYZED ALOE BARBADENSIS LEAF EXTRACT,하이드롤라이즈드알로에베라잎추출물,Hydrolyzed Aloe Barbadensis Leaf Extract,SKIN CONDITIONING,Active,,
VERBENA OFFICINALIS FLOWER WATER,마편초꽃수,Verbena Officinalis Flower Water,SKIN CONDITIONING,Active,,
TILIA VULGARIS FLOWER WATER,유럽라임나무꽃수,Tilia Vulgaris Flower Water,FRAGRANCE,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
LILIUM CANDIDUM BULB/CYMBIDIUM GRANDIFLORUM FLOWER/MALVA SYLVESTRIS EXTRACT,마돈나백합비늘줄기/큄비듐 그란디플로룸꽃/당아욱추출물,Lilium Candidum Bulb/Cymbidium Grandiflorum Flower/Malva Sylvestris Extract,SKIN CONDITIONING,Active,,
CITRUS DEPRESSA FRUIT EXTRACT,플랫레몬열매추출물,Citrus Depressa Fruit Extract,SKIN CONDITIONING,Active,,
COCETH-20,코세스-20,Coceth-20,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
"BIS-HEA POLY(GLYCOL/1,4-BUTANEDIOL ADIPATE)/IPDI COPOLYMER","비스-에이치이에이폴리(글라이콜/1,4-부탄다이올아디페이트)/아이피디아이코폴리머","Bis-HEA Poly(Glycol/1,4-Butanediol Adipate)/IPDI Copolymer",NAIL CONDITIONING,Active,,
HYDROLYZED HONEY PROTEIN,하이드롤라이즈드꿀단백질,Hydrolyzed Honey Protein,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PROPYLTRIMONIUMCHLORIDE ACRYLAMIDE/DIMETHYLACRYLAMIDE COPOLYMER,프로필트라이모늄클로라이드아크릴아마이드/다이메틸아크릴아마이드코폴리머,Propyltrimoniumchloride Acrylamide/Dimethylacrylamide Copolymer,ANTISTATIC;FILM FORMING;HAIR CONDITIONING;HAIR FIXING,Active,,
UNCARIA TOMENTOSA BARK POWDER,캣츠클로껍질가루,Uncaria Tomentosa Bark Powder,SKIN CONDITIONING,Active,,
LOLIUM PERENNE FLOWER EXTRACT,호밀풀꽃추출물,Lolium Perenne Flower Extract,SKIN PROTECTING,Active,,
SODIUM STEAROYL OAT PROTEIN,소듐스테아로일귀리단백질,Sodium Stearoyl Oat Protein,CLEANSING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
PHYSALIS PERUVIANA CALYX EXTRACT,골든베리꽃받침추출물,Physalis Peruviana Calyx Extract,SKIN CONDITIONING,Active,,
DENDROBIUM MONILIFORME LEAF/STEM EXTRACT,석곡잎/줄기추출물,Dendrobium Moniliforme Leaf/Stem Extract,BLEACHING,Active,,
CANANGA ODORATA FLOWER WATER,일랑일랑꽃수,Cananga Odorata Flower Water,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PEG-70 LANOLIN,피이지-70라놀린,PEG-70 Lanolin,CLEANSING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
ZIZIPHUS SATIVA EXTRACT,대추나무추출물,Ziziphus Sativa Extract,SKIN CONDITIONING,Active,,
HYDROLYZED CYPERUS ROTUNDUS ROOT EXTRACT,하이드롤라이즈드향부자뿌리추출물,Hydrolyzed Cyperus Rotundus Root Extract,SKIN PROTECTING,Active,,
C12-18 ALKYL GLUCOSIDE,C12-18알킬글루코사이드,C12-18 Alkyl Glucoside,EMULSION STABILISING,Active,,
BACILLUS/PANAX GINSENG ROOT FERMENT FILTRATE,바실러스/인삼뿌리발효여과물,Bacillus/Panax Ginseng Root Ferment Filtrate,SKIN CONDITIONING,Active,,
ROSA ALBA CALLUS EXTRACT,하얀장미캘러스추출물,Rosa Alba Callus Extract,SKIN PROTECTING,Active,,
SORBITYL FURFURAL PALMITATE,솔비틸푸르푸랄팔미테이트,Sorbityl Furfural Palmitate,ANTIOXIDANT,Active,,
NARDOSTACHYS CHINENSIS EXTRACT,감송향추출물,Nardostachys Chinensis Extract,SKIN CONDITIONING,Active,,
HYDROGENATED SESAME SEED OIL,하이드로제네이티드참깨오일,Hydrogenated Sesame Seed Oil,BINDING;EMULSION STABILISING;HAIR CONDITIONING;SKIN CONDITIONING,Active,,
FICUS SYCOMORUS LEAF CELL EXTRACT,시코모어잎세포추출물,Ficus Sycomorus Leaf Cell Extract,FRAGRANCE;SKIN PROTECTING,Active,,
DEPOLYMERIZED PRASINOCOCCUS CAPSULATUS EXOPOLYSACCHARIDES,디폴리머라이즈드프라시노코쿠스 캅술라투스엑소폴리사카라이드,Depolymerized Prasinococcus Capsulatus Exopolysaccharides,SKIN CONDITIONING,Active,,
SODIUM PEG-8 PALM GLYCERIDES CARBOXYLATE,소듐피이지-8팜글리세라이즈카복실레이트,Sodium PEG-8 Palm Glycerides Carboxylate,CLEANSING;SURFACTANT - FOAM BOOSTING,Active,,
CAMELLIA SINENSIS CALLUS EXTRACT,녹차캘러스추출물,Camellia Sinensis Callus Extract,SKIN PROTECTING,Active,,
POTASSIUM C9-15 ALKYL PHOSPHATE,포타슘C9-15알킬포스페이트,Potassium C9-15 Alkyl Phosphate,SURFACTANT - CLEANSING,Active,,
AMMONIUM C9-10 PERFLUOROALKYLSULFONATE,암모늄C9-10퍼플루오로알킬설포네이트,Ammonium C9-10 Perfluoroalkylsulfonate,CLEANSING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
CHAMOMILLA VULGARIS FLOWER,카모밀라 불가리스꽃,Chamomilla Vulgaris Flower,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
ROSA ALBA LEAF/STEM EXTRACT,하얀장미잎/줄기추출물,Rosa Alba Leaf/Stem Extract,HUMECTANT;SKIN CONDITIONING,Active,,
POLYGLYCERYL-5 TRIISOSTEARATE,폴리글리세릴-5트라이아이소스테아레이트,Polyglyceryl-5 Triisostearate,CLEANSING;SURFACTANT - EMULSIFYING,Active,,ban substances that deplete the ozone layer
MAGNOLIA ACUMINATA BARK EXTRACT,황목련껍질추출물,Magnolia Acuminata Bark Extract,SKIN CONDITIONING,Active,,
HYDROGENATED BRASSICA ALCOHOL,하이드로제네이티드브라시카알코올,Hydrogenated Brassica Alcohol,SKIN CONDITIONING - EMOLLIENT,Active,,ban substances that deplete the ozone layer
CICER ARIETINUM SPROUT EXTRACT,이집트콩싹추출물,Cicer Arietinum Sprout Extract,SKIN CONDITIONING,Active,,
LEONURUS SIBIRICUS LEAF EXTRACT,익모초잎추출물,Leonurus Sibiricus Leaf Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
C30-50 ALKYL BEESWAX,C30-50알킬비즈왁스,C30-50 Alkyl Beeswax,SKIN CONDITIONING,Active,,
ANDROSACE UMBELLATA EXTRACT,봄맞이추출물,Androsace Umbellata Extract,ANTIOXIDANT,Active,,ban substances that deplete the ozone layer
TAGETES PATULA FLOWER/LEAF/STEM EXTRACT,만수국꽃/잎/줄기추출물,Tagetes Patula Flower/Leaf/Stem Extract,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
INGA BOURGONI BARK EXTRACT,인가 보우르고니나무껍질추출물,Inga Bourgoni Bark Extract,SKIN CONDITIONING,Active,,
LAURYL COCOATE,라우릴코코에이트,Lauryl Cocoate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
GENTIANELLA RIOJAE EXTRACT,겐티아넬라 리오야에추출물,Gentianella Riojae Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
ARAUCARIA HETEROPHYLLA LEAF EXTRACT,아로카리아잎추출물,Araucaria Heterophylla Leaf Extract,SKIN CONDITIONING,Active,,
POTASSIUM BABASSUATE,포타슘바바수에이트,Potassium Babassuate,CLEANSING;SURFACTANT - EMULSIFYING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
BORONOPHENYLALANINE HCL,보로노페닐알라닌에이치씨엘,Boronophenylalanine HCl,NOT REPORTED,Active,,ban substances that deplete the ozone layer
POTASSIUM UNDECYLENOYL HYDROLYZED RICE PROTEIN,포타슘운데실레노일하이드롤라이즈드쌀단백질,Potassium Undecylenoyl Hydrolyzed Rice Protein,HAIR CONDITIONING;SKIN CONDITIONING,Active,,
PYRUS CYDONIA FRUIT JUICE,명자나무열매즙,Pyrus Cydonia Fruit Juice,ASTRINGENT;TONIC,Active,,
PALMITOYL MARE MILK,팔미토일마유,Palmitoyl Mare Milk,SKIN CONDITIONING,Active,,
SODIUM COCOYL/STEAROYL (ALANINE/ARGININE/ASPARAGINE/ASPARTIC ACID/GLUTAMIC ACID/GLUTAMINE/GLYCINE/HISTIDINE/ISOLEUCINE/LEUCINE/LYSINE/PHENYLALANINE/PROLINE/SERINE/THREONINE/TYROSINE/VALINE),소듐코코일/스테아로일(알라닌/알지닌/아스파라진/아스파틱애씨드/글루타믹애씨드/글루타민/글라이신/히스티딘/아이소류신/류신/라이신/페닐알라닌/프롤린/세린/트레오닌/타이로신/발린),Sodium Cocoyl/Stearoyl (Alanine/Arginine/Asparagine/Aspartic Acid/Glutamic Acid/Glutamine/Glycine/Histidine/Isoleucine/Leucine/Lysine/Phenylalanine/Proline/Serine/Threonine/Tyrosine/Valine),SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;EMULSION STABILISING;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,
ANIGOZANTHOS MANGLESII FLOWER EXTRACT,맹글스캥거루포꽃추출물,Anigozanthos Manglesii Flower Extract,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
ASPERGILLUS/SACCHAROMYCES/BARLEY FERMENT EXTRACT FILTRATE,아스퍼질러스/효모/보리발효추출여과물,Aspergillus/Saccharomyces/Barley Ferment Extract Filtrate,HUMECTANT,Active,,
ISOPROPYL HYDROXYCETYL ETHER,아이소프로필하이드록시세틸에터,Isopropyl Hydroxycetyl Ether,SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
POLOXAMINE 707,폴록사민707,Poloxamine 707,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,
OPUNTIA VULGARIS LEAF EXTRACT,드룹핑트리피어잎추출물,Opuntia Vulgaris Leaf Extract,SKIN CONDITIONING,Active,,
CAMPOMANESIA LINEATIFOLIA SEED EXTRACT,캄포마네시아 리네아티폴리아씨추출물,Campomanesia Lineatifolia Seed Extract,ANTIOXIDANT;SKIN CONDITIONING,Active,,
PANAX NOTOGINSENG LEAF/STEM EXTRACT,삼칠잎/줄기추출물,Panax Notoginseng Leaf/Stem Extract,ASTRINGENT,Active,,
NEPHELIUM LAPPACEUM PEEL EXTRACT,람부탄껍질추출물,Nephelium Lappaceum Peel Extract,SKIN CONDITIONING,Active,,
BROMELIA BALANSEA EXTRACT,브로멜리아추출물,Bromelia Balansea Extract,SKIN CONDITIONING,Active,,
BARLERIA PRIONITIS ROOT EXTRACT,발레리아뿌리추출물,Barleria Prionitis Root Extract,FRAGRANCE,Active,,
PEGMATITE,페그마타이트,Pegmatite,ABRASIVE;ABSORBENT;ANTIMICROBIAL;BULKING;SKIN CONDITIONING,Active,,
ECHINOPS GIGANTEUS ROOT EXTRACT,에키놉스 기간테우스뿌리추출물,Echinops Giganteus Root Extract,SKIN CONDITIONING,Active,,
KJELLMANIELLA GYRATA EXTRACT,참미역추출물,Kjellmaniella Gyrata Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
STYRENE/ACRYLATES COPOLYMER/POLYURETHANE,스타이렌/아크릴레이트코폴리머/폴리우레탄,Styrene/Acrylates Copolymer/Polyurethane,BINDING;FILM FORMING;PLASTICISER,Active,,
PENTAPEPTIDE-23,펜타펩타이드-23,Pentapeptide-23,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
